		CON fEVs						GW6471 fEVs					
	S	7200.991	4640.17	5552.038	4403.76	7051.195	4749.407	2846.237	3899.289	3395.151	3020.962	3079.71	3671.881
	T	346.537	306.1315	334.4202	206.118	157.3922	208.6365	141.7893	127.1769	62.27321	58.99241	53.55215	49.70359
	U	3309.832	3634.487	3915.484	3606.814	2741.393	3866.568	5261.405	4450.124	4892.952	3958.235	4088.56	4018.624
	V	142.1426	2363.085	2876.57	1418.833	450.754	1887.84	11552.86	4051.741	3073.932	4282.035	4780.871	2359.902
		Fe2+						Fe3+					
W	CON fEVs	85.67106	135.183	89.21317	102.3938	112.3948	97.37069	358.9319	797.9586	565.3898	429.342	493.3241	639.5336
	GW6471 fEVs	59.53986	50.72198	51.32583	68.35563	79.39434	74.76961	801.825	477.6042	545.8935	638.1491	504.6153	384.9531
