	HLF+/+HFD						HLF+/-HFD					
q	0.181233	0.194898	0.17911	0.166164	0.178765	0.159775	0.093924	0.110985	0.118458	0.11677	0.118102	0.106106
R	0.023527	0.032085	0.037604	0.035045	0.038046	0.027838	0.04445	0.052267	0.057648	0.04573	0.116788	0.068513
S	1.309567	1.251019	1.249634	1.278957	1.145544	1.137559	1.835505	1.663601	1.61089	1.746747	1.779189	1.719367
T	25441.87	36064.74	39171.75	28599.91	23498.83	27773.05	58687.3	65978.87	61794.93	51150.64	76404.13	66572.22
												
U	HLF+/+HFD			HLF+/-HFD								
	0.812681	1.173339	1.013981	1.7474	1.860846	1.952914						
