HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
0.265593	0.138903	0.344293	0.250424	0	0.133859	0.102538	0.10516	0.267783	0.428386	0.007787	0.610569
0.265593	0.138903	0.413626	0.256034	0	0.133859	0.167647	0.10516	0.267783	0.460301	0.007787	0.610569
0.272303	0.138903	0.418284	0.256034	0	0.133859	0.223378	0.10516	0.267783	0.460301	0.007787	0.610569
0.339532	0.138903	0.418284	0.256034	0	0.133859	0.230798	0.10516	0.267783	0.460301	0.007787	0.610569
0.366811	0.171824	0.418284	0.256034	0	0.133859	0.253705	0.10516	0.267783	0.460301	0.007787	0.610569
0.425001	0.241441	0.418284	0.256034	0	0.133859	0.256659	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.256034	0	0.141853	0.264094	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.256034	0	0.211045	0.276762	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.256034	0	0.280238	0.279474	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.256034	0	0.288232	0.279474	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.256034	0	0.288232	0.279474	0.10516	0.267783	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.264473	0	0.288232	0.279474	0.10516	0.296736	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.432017	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.55962	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.460301	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.497429	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.562491	0.007787	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.565844	0.011835	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288232	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.438636	0.243775	0.418284	0.267754	0	0.288316	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.438636	0.243775	0.418669	0.267754	0	0.327805	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.438636	0.243775	0.48063	0.267754	0	0.396834	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.44096	0.243775	0.587203	0.267754	0	0.414769	0.279474	0.10516	0.578379	0.565844	0.01575	0.610569
0.516791	0.243775	0.670447	0.267754	0	0.414769	0.279474	0.114497	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.267754	0	0.414769	0.279474	0.174733	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.267888	0	0.447625	0.279474	0.176357	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.274295	0	0.577201	0.279474	0.176357	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279391	0	0.639238	0.279474	0.176357	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.279474	0.176357	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.279474	0.176357	0.578379	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.290387	0.176357	0.579406	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.413413	0.176357	0.601667	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.530822	0.176357	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.538711	0.176357	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.538711	0.176357	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.538711	0.176357	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.538711	0.176357	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.279392	0	0.639238	0.538711	0.183314	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.280267	0	0.639238	0.538711	0.185531	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.611995	0.565844	0.01575	0.610569
0.548131	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.614296	0.565844	0.01575	0.610569
0.578962	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.622867	0.565844	0.015752	0.610569
0.663467	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.622867	0.565844	0.04731	0.610569
0.676912	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.622867	0.565844	0.098032	0.610569
0.676912	0.243775	0.676547	0.282444	0	0.639238	0.538711	0.185531	0.622867	0.565844	0.102875	0.610569
0.676912	0.243775	0.676547	0.282444	0.001969	0.639238	0.538711	0.185531	0.622867	0.565844	0.102875	0.610569
