HLF+/+HFD			HLF-/-HFD		
1.16586	1.269787	1.796778	1.692802	1.793466	1.746472
1.16586	1.269787	1.796778	1.692802	1.793466	1.767263
1.16586	1.307426	1.796778	1.692802	1.793466	1.775017
1.16586	1.332187	1.796778	1.692802	1.793466	1.77526
1.16586	1.338024	1.796778	1.692802	1.793466	1.777554
1.16586	1.4032	1.796778	1.692802	1.793466	1.777639
1.16586	1.425119	1.799573	1.692802	1.793466	1.777639
1.16586	1.425119	1.802085	1.692802	1.793466	1.777639
1.16586	1.425119	1.802085	1.745736	1.793466	1.777639
1.16586	1.425119	1.802085	1.765647	1.793466	1.777639
1.16586	1.425119	1.802085	1.765647	1.793466	1.777639
1.16586	1.425119	1.842321	1.808046	1.793466	1.777639
1.16586	1.425119	1.917594	1.918747	1.793466	1.777639
1.16586	1.425119	1.917594	1.9206	1.793466	1.844564
1.16586	1.425119	1.917594	1.9206	1.793466	1.922601
1.16586	1.425119	1.917594	1.9206	1.793466	1.922601
1.16586	1.425119	1.917594	1.9206	1.793466	1.922601
1.16586	1.425119	1.917594	1.9206	1.793466	1.922601
1.231944	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917594	1.9206	1.793466	1.922601
1.255365	1.425119	1.917664	1.9206	1.793466	1.924014
1.255365	1.425119	1.927497	1.9206	1.793466	1.935488
1.255365	1.425119	1.939463	1.9206	1.793466	1.948935
1.255365	1.425119	1.939966	1.935027	1.793466	1.962381
1.255365	1.425119	1.941566	1.950244	1.793466	1.975332
1.255365	1.425119	1.992394	1.953037	1.793466	1.984908
1.282878	1.425119	2.000446	1.968558	1.795142	1.99386
1.359581	1.425119	2.000446	1.987516	1.853005	1.99386
1.425581	1.425119	2.000446	2.006773	1.930073	1.99386
1.437602	1.425119	2.000446	2.006773	1.943521	1.99386
1.480523	1.425119	2.000446	2.006773	1.943521	1.99386
1.53216	1.425119	2.000446	2.006773	1.943521	1.99386
1.549607	1.425119	2.000446	2.006773	1.943521	1.99386
1.549607	1.425119	2.000446	2.006773	1.950981	1.99386
1.549809	1.425119	2.000446	2.006773	1.981453	1.99386
1.578088	1.425119	2.000736	2.006773	1.981453	1.99386
1.621387	1.425119	2.008963	2.006773	1.981453	1.99386
1.628712	1.425119	2.020765	2.006773	1.981453	1.99386
1.628712	1.425119	2.032566	2.006773	1.981453	1.99386
1.628712	1.425119	2.044368	2.006773	1.981453	1.99386
1.628712	1.425119	2.050406	2.006773	1.981453	1.99386
1.629673	1.429942	2.050407	2.006773	1.981453	1.99386
1.638116	1.500139	2.050407	2.006773	1.981453	1.99386
1.641915	1.505086	2.050407	2.006773	1.981453	1.99386
1.641915	1.50753	2.050407	2.006773	1.981453	1.99386
1.641915	1.507553	2.050407	2.006773	1.981453	1.99386
1.641915	1.507553	2.051096	2.006773	1.981453	1.99386
1.641915	1.51929	2.064542	2.006773	1.981453	1.99386
1.641915	1.599015	2.082781	2.006773	1.981453	1.99386
1.641915	1.599015	2.100989	2.006773	1.981453	1.99386
1.641915	1.599015	2.109076	2.006773	1.981453	1.99386
1.641915	1.599015	2.109076	2.006773	1.981453	1.99386
1.641915	1.599015	2.109076	2.006773	1.993104	1.99386
1.641915	1.599015	2.109076	2.006773	2.033725	1.99386
1.641915	1.599015	2.109076	2.006773	2.061537	1.99386
1.641915	1.60136	2.109076	2.006773	2.062205	1.99386
1.641915	1.620019	2.109076	2.006773	2.062205	1.99386
1.641915	1.644144	2.109076	2.006773	2.062205	1.99386
1.641915	1.707921	2.109076	2.006773	2.062205	1.99386
1.641915	1.733884	2.109076	2.006773	2.062205	1.99386
1.641915	1.733884	2.109076	2.006773	2.062205	1.99386
1.641915	1.733884	2.109076	2.006773	2.062205	2.069249
1.646843	1.733884	2.109076	2.006773	2.062205	2.124215
1.677229	1.733884	2.109076	2.007101	2.062205	2.124215
1.705084	1.733884	2.109076	2.063937	2.062205	2.124215
1.707782	1.733884	2.109076	2.120169	2.062205	2.124215
1.707782	1.733884	2.109076	2.120446	2.062205	2.124215
1.747196	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.062205	2.124215
1.769851	1.733884	2.109076	2.120446	2.063725	2.124215
1.769851	1.733884	2.109076	2.120446	2.106784	2.124215
1.769851	1.733884	2.109076	2.120446	2.107253	2.124215
1.769851	1.733884	2.109076	2.120446	2.107253	2.124215
1.769851	1.733884	2.109076	2.120446	2.107253	2.124215
1.769851	1.733884	2.109076	2.120446	2.107253	2.124215
1.769851	1.733884	2.109076	2.120446	2.107253	2.124215
1.769851	1.733884	2.113034	2.120446	2.107253	2.124215
1.769851	1.733884	2.196167	2.120446	2.107253	2.124215
1.769851	1.733884	2.228332	2.120446	2.107253	2.124215
1.769851	1.733884	2.275206	2.120446	2.107253	2.124215
1.769851	1.733884	2.275639	2.120446	2.112591	2.124215
1.769851	1.733884	2.279503	2.120446	2.226451	2.124215
1.769851	1.733884	2.281378	2.120446	2.228162	2.124215
1.769851	1.733884	2.281378	2.120446	2.228162	2.124215
1.769851	1.733884	2.281378	2.18666	2.228162	2.127265
1.769851	1.733884	2.281378	2.230802	2.228162	2.12772
1.792264	1.733884	2.281378	2.230802	2.228162	2.12772
1.836036	1.733884	2.281378	2.230802	2.228162	2.12772
1.837608	1.733884	2.281378	2.230802	2.228162	2.12772
1.842535	1.733884	2.281378	2.230802	2.228162	2.12772
1.848995	1.733884	2.281378	2.230802	2.228162	2.12772
1.858758	1.733884	2.284569	2.230802	2.228162	2.12772
1.858758	1.733884	2.290042	2.230802	2.228162	2.12772
1.858758	1.733884	2.290042	2.230802	2.228162	2.12772
1.858758	1.733884	2.291288	2.230802	2.228162	2.12772
1.858758	1.733884	2.292986	2.230802	2.228162	2.12772
1.858758	1.733884	2.29459	2.230802	2.228162	2.12772
1.858758	1.733884	2.306181	2.230802	2.228162	2.12772
1.858758	1.733884	2.308011	2.230802	2.228162	2.12772
1.858758	1.733884	2.308011	2.230946	2.228162	2.12772
1.858758	1.771659	2.308011	2.349038	2.228162	2.12772
1.858758	1.794812	2.308011	2.373428	2.228162	2.12772
1.858758	1.794812	2.308011	2.373428	2.228162	2.12772
1.858758	1.794812	2.308011	2.373428	2.228162	2.12772
1.858758	1.794812	2.308011	2.373428	2.228162	2.12772
1.858758	1.794812	2.308011	2.373428	2.228715	2.12772
1.858758	1.864234	2.322707	2.373428	2.237686	2.133479
1.858758	1.894461	2.328374	2.373428	2.238587	2.240716
1.858758	1.894461	2.348291	2.374975	2.238587	2.255642
1.858758	1.894461	2.435412	2.386819	2.238587	2.255642
1.858758	1.894461	2.436421	2.387769	2.238587	2.255642
1.858758	1.894461	2.436421	2.387769	2.238587	2.255642
1.858758	1.894461	2.437514	2.387769	2.238587	2.255642
1.858758	1.894461	2.448251	2.387769	2.238587	2.255642
1.858758	1.894461	2.44835	2.387769	2.238587	2.255642
1.858758	1.894461	2.44835	2.387769	2.238587	2.255642
1.870069	1.894461	2.44835	2.387769	2.238587	2.255642
1.943127	1.894461	2.44835	2.387769	2.238587	2.255642
1.953647	1.894461	2.44835	2.387769	2.238587	2.255642
