HLF+/+HFD			HLF-/-HFD		
0.840588	0.743923	0.633762	0.626266	0.816288	0.602405
0.6464	0.603238	0.622993	0.711027	0.662842	0.668909
0.662279	0.635114	0.661885	0.753656	0.696986	0.700455
0.680474	0.640245	0.950891	0.732751	0.727154	0.676826
0.664564	0.649247	0.784254	0.71644	0.771955	0.73734
0.665566	0.638679	0.6663	0.729652	0.731992	0.688209
0.685245	0.641533	0.673152	0.7453	0.708648	0.690249
0.679858	0.633311	0.656026	0.771957	0.69937	0.670664
0.690987	0.658696	0.674105	0.788418	0.698559	0.679739
0.725381	0.633462	0.690466	0.791362	0.725712	0.703304
0.726144	0.643239	0.725027	0.784339	0.723189	0.696656
0.701039	0.659569	0.728372	0.782513	0.720957	0.69649
0.689418	0.645054	0.726363	0.747924	0.733364	0.75377
0.692923	0.646883	0.705553	0.730756	0.71014	0.742909
0.666186	0.6615	0.711605	0.720669	0.716489	0.754468
0.666026	0.66266	0.748433	0.71961	0.705084	0.738013
0.692825	0.706528	0.726778	0.716218	0.721762	0.75311
0.708918	0.688134	0.729884	0.70212	0.730361	0.742175
0.743844	0.676702	0.750084	0.733968	0.773222	0.766295
0.776804	0.692167	0.709264	0.735323	0.757219	0.741136
0.789263	0.725928	0.702593	0.75835	0.773135	0.738547
0.716549	0.702425	0.68666	0.746848	0.767144	0.747474
0.705661	0.678567	0.699099	0.746767	0.80341	0.752147
0.709672	0.693103	0.692846	0.767433	0.839737	0.7498
0.682215	0.667112	0.670025	0.78258	0.826882	0.733456
0.686323	0.663804	0.679576	0.775658	0.814577	0.746707
0.689595	0.644494	0.659976	0.738453	0.792614	0.712124
0.693356	0.676113	0.672189	0.739189	0.780684	0.749444
0.690349	0.66435	0.654498	0.721485	0.765943	0.776977
0.66575	0.664352	0.690417	0.721761	0.768696	0.74235
0.743258	0.73319	0.578886	0.84167	0.615611	0.611565
0.741919	0.734467	0.589973	0.601895	0.84167	0.618075
0.663131	0.686777	0.71888	0.734284	0.601895	0.76269
0.671839	0.633419	0.708588	0.765815	0.717211	0.737969
0.657789	0.624043	0.709125	0.816273	0.685479	0.739235
0.638687	0.615062	0.703486	0.803778	0.691743	0.729869
0.631043	0.66185	0.719845	0.776591	0.686987	0.713976
0.638446	0.653882	0.737676	0.749552	0.680798	0.735244
0.638587	0.680424	0.717023	0.72999	0.670365	0.743533
0.669894	0.719592	0.775716	0.74702	0.695255	0.761303
0.659316	0.697951	0.772367	0.76824	0.730148	0.749102
0.681323	0.710102	0.75347	0.758823	0.752949	0.744631
0.703149	0.671439	0.753716	0.773352	0.740623	0.70962
0.706929	0.693381	0.754975	0.785476	0.791779	0.767061
0.714636	0.709764	0.752579	0.758515	0.77844	0.766714
0.697537	0.723815	0.740463	0.739507	0.750065	0.757516
0.715413	0.705713	0.72937	0.746512	0.75696	0.749723
0.69365	0.664997	0.755028	0.793092	0.773955	0.752965
0.67361	0.668186	0.778427	0.804006	0.803665	0.74759
0.655284	0.660218	0.764631	0.804159	0.786249	0.751825
0.642799	0.690679	0.782586	0.812583	0.771633	0.800118
0.627412	0.716122	0.775358	0.791854	0.732536	0.793119
0.639464	0.731069	0.741161	0.818416	0.715313	0.772382
0.674359	0.718456	0.755077	0.831447	0.743732	0.808809
0.674935	0.731319	0.79427	0.820088	0.778902	0.83511
0.675186	0.766606	0.773561	0.809582	0.766234	0.813289
0.706502	0.76801	0.762844	0.788675	0.764138	0.785078
0.724032	0.716221	0.772259	0.766244	0.748133	0.784675
0.742466	0.694796	0.77162	0.787248	0.760801	0.801254
0.73109	0.695804	0.746633	0.750107	0.760787	0.806344
0.743502	0.743217	0.734928	0.764764	0.797977	0.789319
0.718739	0.709002	0.759173	0.763877	0.804938	0.798175
0.733403	0.675304	0.738561	0.755812	0.775068	0.805017
0.766611	0.682506	0.707626	0.791391	0.777001	0.785219
0.7408	0.693058	0.715127	0.767421	0.784821	0.793715
0.748921	0.730592	0.716696	0.749306	0.788671	0.830837
0.741988	0.747698	0.767271	0.775341	0.798083	0.798441
0.74939	0.676101	0.797434	0.774706	0.796568	0.780316
0.742435	0.748816	0.793887	0.793906	0.787027	0.789738
0.727146	0.74849	0.79514	0.819676	0.783118	0.773371
