HLF+/+HFD			HLF-/-HFD		
0.027491	0.0278	0.029325	0.038689	0.052402	0.038885
0.027226	0.030326	0.030359	0.03805	0.040924	0.039559
0.02978	0.035336	0.042031	0.042291	0.043371	0.039816
0.028222	0.030508	0.035889	0.042851	0.039652	0.043976
0.029293	0.040352	0.032086	0.040767	0.043806	0.041877
0.031194	0.041273	0.033638	0.039081	0.048575	0.040848
0.02725	0.036844	0.027095	0.038169	0.044542	0.041389
0.028591	0.033954	0.031449	0.041009	0.043936	0.039003
0.027059	0.03063	0.030766	0.052304	0.034384	0.037902
0.025804	0.031517	0.030584	0.060329	0.03035	0.042877
0.023089	0.031286	0.028909	0.068927	0.035679	0.04212
0.027086	0.041963	0.032558	0.060951	0.039449	0.041224
0.030435	0.038275	0.028153	0.058397	0.03512	0.04398
0.032398	0.026771	0.032761	0.050697	0.036908	0.037801
0.033163	0.029592	0.036096	0.058709	0.030044	0.036503
0.02881	0.032992	0.032702	0.062875	0.036908	0.043017
0.026666	0.032172	0.032664	0.056465	0.041911	0.041381
0.02602	0.033492	0.035382	0.061241	0.036581	0.039871
0.025205	0.035168	0.03487	0.054964	0.034086	0.044541
0.031498	0.038351	0.029448	0.040806	0.034981	0.041167
0.037019	0.032752	0.032863	0.047203	0.033711	0.044638
0.03337	0.035694	0.027594	0.045673	0.045164	0.038549
0.025627	0.030298	0.028634	0.038598	0.038178	0.039953
0.020769	0.024858	0.033846	0.035197	0.03327	0.038714
0.027167	0.027723	0.038828	0.044813	0.043867	0.042939
0.030448	0.030315	0.040702	0.047209	0.052858	0.038989
0.032763	0.031211	0.046355	0.040541	0.056896	0.03999
0.026501	0.031889	0.046366	0.052917	0.052179	0.039702
0.030031	0.028405	0.046775	0.05994	0.050924	0.041809
0.035921	0.030959	0.045119	0.060467	0.045407	0.038568
0.041043	0.031053	0.059616	0.055774	0.052264	0.035294
0.044038	0.030169	0.038961	0.055255	0.05182	0.043108
0.039903	0.03097	0.045528	0.052991	0.045317	0.041118
0.04001	0.03224	0.043474	0.048691	0.04117	0.038057
0.039533	0.032787	0.041717	0.049968	0.043388	0.04065
0.039332	0.031492	0.036246	0.045249	0.043298	0.039996
0.033558	0.030632	0.027946	0.052546	0.035096	0.037322
0.038247	0.035317	0.030493	0.037506	0.033357	0.043518
0.038498	0.038533	0.030798	0.039208	0.039247	0.043886
0.04562	0.033078	0.030896	0.038356	0.038691	0.039777
0.045338	0.02734	0.035375	0.037866	0.033266	0.038022
0.034836	0.02809	0.049604	0.050439	0.037061	0.038831
0.032763	0.035905	0.041992	0.039021	0.038128	0.038437
0.0334	0.033443	0.046359	0.036742	0.034457	0.04295
0.030726	0.032051	0.048118	0.039941	0.033658	0.039355
0.034358	0.03006	0.051955	0.045807	0.036392	0.03784
0.029143	0.033835	0.049123	0.036717	0.040945	0.041274
0.028538	0.036416	0.047143	0.035409	0.040757	0.040013
0.030486	0.051228	0.049161	0.048685	0.030426	0.037826
0.031914	0.045574	0.045515	0.04891	0.041301	0.036228
0.028768	0.039636	0.042112	0.043131	0.035352	0.036957
0.03006	0.029296	0.041371	0.034867	0.03801	0.03337
0.032729	0.02872	0.041697	0.034839	0.033768	0.034305
0.023165	0.038322	0.042608	0.037442	0.034304	0.035064
0.030334	0.048282	0.044375	0.043538	0.035215	0.031584
0.026827	0.052009	0.049364	0.047873	0.027304	0.034775
0.022693	0.051667	0.045813	0.041616	0.030025	0.034638
0.021301	0.047844	0.042955	0.030003	0.028707	0.038764
0.021008	0.040362	0.045946	0.042989	0.031502	0.035916
0.024064	0.044303	0.037756	0.038343	0.033507	0.03508
0.026519	0.043006	0.036195	0.036324	0.033331	0.03422
0.025562	0.043396	0.030779	0.039207	0.03152	0.035216
0.022599	0.041114	0.031392	0.032952	0.032674	0.038509
0.029803	0.04107	0.031908	0.036111	0.034116	0.038839
0.029315	0.037599	0.030225	0.03612	0.032988	0.038563
0.0293	0.047821	0.030736	0.036183	0.040615	0.035419
0.035846	0.041242	0.03015	0.035674	0.056565	0.03573
0.034055	0.048822	0.029868	0.049132	0.034392	0.037271
0.031461	0.041908	0.025472	0.04485	0.038344	0.036002
0.035398	0.039591	0.027306	0.047495	0.035687	0.035862
0.037137	0.033209	0.027346	0.049728	0.034081	0.034699
0.032323	0.028627	0.027946	0.042414	0.036218	0.035901
0.03244	0.027602	0.028648	0.038697	0.035244	0.03486
0.028775	0.027486	0.033835	0.039687	0.033304	0.034885
0.027676	0.03024	0.029171	0.044574	0.03596	0.036804
0.029647	0.031526	0.026307	0.04752	0.041517	0.036785
0.03151	0.033363	0.028982	0.036161	0.03924	0.042613
0.02633	0.029805	0.03189	0.036464	0.032273	0.040434
0.024547	0.031236	0.029527	0.033223	0.034168	0.048702
0.025154	0.029213	0.027892	0.032883	0.030777	0.051467
0.026428	0.028633	0.028363	0.043423	0.039883	0.057759
0.026361	0.029105	0.027586	0.0445	0.033444	0.057988
0.028092	0.030014	0.029249	0.034589	0.036339	0.055774
0.028033	0.025362	0.023731	0.033759	0.033982	0.049979
0.027272	0.026337	0.026974	0.032523	0.035413	0.053981
0.02543	0.029788	0.042474	0.036273	0.033385	0.060712
0.024218	0.0367	0.042529	0.039184	0.033169	0.063296
0.026034	0.029484	0.037655	0.048458	0.033248	0.062487
0.025227	0.035078	0.039289	0.034292	0.0365	0.058632
0.031837	0.02675	0.03824	0.039581	0.036019	0.061088
0.027459	0.030809	0.041462	0.050128	0.031944	0.061749
0.027246	0.029616	0.042851	0.052304	0.052211	0.062364
0.024931	0.031552	0.035509	0.0503	0.047572	0.069697
0.026209	0.033187	0.034678	0.052894	0.04663	0.065958
0.033286	0.028213	0.035618	0.053121	0.039018	0.07004
0.034797	0.027482	0.035149	0.050884	0.042615	0.065721
0.034928	0.033993	0.037696	0.049341	0.041456	0.062209
0.033268	0.028626	0.027937	0.038084	0.042977	0.06009
0.039807	0.025049	0.028986	0.034812	0.040861	0.063039
0.033292	0.029619	0.039437	0.037759	0.04123	0.062161
0.03192	0.028179	0.04353	0.039248	0.042445	0.063434
0.036731	0.031691	0.039306	0.038893	0.048475	0.068162
0.030214	0.023898	0.038043	0.040518	0.041105	0.067478
0.028084	0.030913	0.037162	0.0418	0.040274	0.065949
0.029291	0.039302	0.036258	0.036257	0.034874	0.068968
0.023468	0.049626	0.035754	0.042092	0.034522	0.061305
0.019364	0.043916	0.036154	0.034577	0.034409	0.066299
0.022725	0.051271	0.040927	0.036053	0.034495	0.068875
0.026549	0.038734	0.03477	0.051463	0.034023	0.063007
0.025434	0.044226	0.028955	0.061699	0.030076	0.064086
0.019413	0.035683	0.028726	0.050609	0.037025	0.066381
0.026585	0.040706	0.030705	0.059607	0.034648	0.060321
0.029303	0.040693	0.032101	0.060291	0.034321	0.067159
0.027713	0.040419	0.032103	0.053353	0.038821	0.066516
0.028452	0.044663	0.032748	0.054427	0.027328	0.063172
0.024734	0.041783	0.03702	0.051943	0.046858	0.065276
0.023221	0.051209	0.040922	0.050403	0.045167	0.07012
0.023765	0.051228	0.040463	0.058321	0.047474	0.077039
0.024548	0.047737	0.040408	0.056425	0.043501	0.069465
0.02553	0.044054	0.036056	0.054454	0.035344	0.071796
0.027357	0.037509	0.043033	0.048171	0.040699	0.072418
0.028689	0.030261	0.039213	0.042148	0.036291	0.070616
0.026604	0.032107	0.04029	0.037417	0.032086	0.060636
0.029941	0.035868	0.040556	0.037514	0.035678	0.06437
0.032381	0.032591	0.038473	0.032554	0.042199	0.068097
0.039099	0.032774	0.030017	0.034784	0.040137	0.069659
0.035812	0.043729	0.033136	0.03775	0.044868	0.07138
0.03504	0.044142	0.032688	0.040905	0.039779	0.073812
0.031569	0.045506	0.034698	0.040123	0.030988	0.070275
0.030769	0.038507	0.031911	0.031055	0.03598	0.070912
0.031112	0.02986	0.029844	0.035209	0.037549	0.066237
0.027576	0.026744	0.02967	0.0365	0.041542	0.069814
0.029409	0.029123	0.038317	0.040964	0.044864	0.062237
0.025691	0.033735	0.028161	0.041556	0.036033	0.061957
0.027035	0.032652	0.031022	0.03804	0.039767	0.072371
0.02696	0.032697	0.028594	0.039671	0.043955	0.059418
0.027169	0.028835	0.02732	0.034447	0.041282	0.057434
0.027401	0.030499	0.024883	0.038466	0.039278	0.069568
0.026299	0.029104	0.02961	0.052171	0.046696	0.078326
0.02719	0.038019	0.029979	0.05232	0.042668	0.08457
0.031749	0.04156	0.030248	0.05103	0.041706	0.071732
0.031018	0.037449	0.031478	0.054691	0.03982	0.067532
0.022496	0.031722	0.029506	0.05498	0.041363	0.078956
0.025233	0.031659	0.030314	0.043999	0.032873	0.070747
0.025232	0.028764	0.028369	0.041553	0.034892	0.077178
0.026723	0.029866	0.028645	0.039761	0.043926	0.08022
0.030174	0.034991	0.029055	0.037151	0.032097	0.068305
0.028218	0.0302	0.028342	0.039758	0.032288	0.070467
0.028934	0.030101	0.029584	0.03875	0.030991	0.077331
0.031396	0.030101	0.029765	0.049511	0.035006	0.07812
0.029856	0.029715	0.036247	0.052645	0.041718	0.080172
0.030511	0.032325	0.031544	0.05929	0.039729	0.067833
0.032995	0.031452	0.028991	0.051609	0.039707	0.069979
0.030697	0.030676	0.035397	0.053575	0.039472	0.068458
0.027295	0.034025	0.037721	0.051109	0.032005	0.082187
0.02694	0.030631	0.045202	0.042866	0.039548	0.076222
0.029037	0.028673	0.044564	0.039217	0.04436	0.077257
0.028105	0.027612	0.042947	0.041245	0.05056	0.082383
0.028928	0.028876	0.036488	0.041014	0.043091	0.083258
0.027989	0.029745	0.028904	0.042408	0.039263	0.07371
0.026546	0.028528	0.027597	0.04568	0.038095	0.074027
0.027821	0.029125	0.031924	0.045663	0.042531	0.071295
0.033651	0.035616	0.030324	0.04265	0.039871	0.060096
0.036878	0.041703	0.030949	0.052436	0.042746	0.060348
0.022861	0.047344	0.031095	0.054179	0.046406	0.06938
0.024155	0.046014	0.031898	0.056094	0.042499	0.074364
0.02558	0.041304	0.029402	0.060192	0.039623	0.072536
0.026362	0.041186	0.029298	0.060333	0.037258	0.069316
0.027207	0.032648	0.033351	0.047849	0.039759	0.067408
0.028725	0.02572	0.029756	0.04978	0.038026	0.062968
0.02912	0.028721	0.029416	0.04827	0.038301	0.06198
0.028587	0.029949	0.027204	0.047403	0.053474	0.058774
0.025352	0.030494	0.031541	0.043884	0.057469	0.06591
0.024666	0.029342	0.038432	0.040799	0.052614	0.071655
0.027055	0.032137	0.043199	0.046237	0.049359	0.087413
0.030677	0.030134	0.043603	0.052667	0.045674	0.07432
0.029072	0.02951	0.042466	0.058205	0.039781	0.069262
0.029763	0.030441	0.046578	0.06044	0.045123	0.065317
0.025788	0.031432	0.039684	0.058253	0.047949	0.068503
0.02531	0.033155	0.033614	0.052807	0.04703	0.075899
0.025444	0.034634	0.033943	0.04257	0.037469	0.075858
0.029021	0.043411	0.035366	0.039875	0.045434	0.07293
0.02884	0.045176	0.04163	0.054843	0.051153	0.070974
0.027757	0.037538	0.045454	0.062871	0.064538	0.060912
0.034403	0.036599	0.043658	0.066684	0.059925	0.061733
0.04243	0.037105	0.04564	0.064997	0.050883	0.076826
0.04455	0.038228	0.046157	0.066039	0.053998	0.080697
0.046721	0.040894	0.041049	0.058101	0.065707	0.088263
0.033539	0.043659	0.038432	0.060636	0.06475	0.093041
0.034483	0.040548	0.041077	0.060278	0.060776	0.088279
0.031125	0.037875	0.046713	0.060978	0.058705	0.08529
0.028131	0.03788	0.049304	0.072699	0.062136	0.090516
0.026872	0.033151	0.053688	0.065215	0.053568	0.073436
0.027214	0.038181	0.055111	0.061061	0.058999	0.08157
0.026035	0.042815	0.054046	0.056567	0.06379	0.087583
0.026231	0.050638	0.059904	0.061912	0.064891	0.103533
0.030912	0.047396	0.051888	0.064142	0.060329	0.097348
0.028163	0.040826	0.050532	0.067218	0.064501	0.078318
0.030408	0.04841	0.055265	0.066557	0.065696	0.087065
0.037176	0.052838	0.051538	0.054567	0.061256	0.079645
0.032723	0.043901	0.047969	0.054844	0.059345	0.067104
0.039799	0.036313	0.053739	0.056216	0.062493	0.071808
0.032654	0.037385	0.045512	0.051691	0.062458	0.070366
0.039637	0.042305	0.037739	0.056844	0.059678	0.072266
0.043715	0.038668	0.047547	0.057658	0.060286	0.074233
0.031352	0.035874	0.046484	0.04845	0.070459	0.086783
0.037679	0.0361	0.041565	0.050339	0.058206	0.089524
0.033266	0.041309	0.040572	0.055431	0.058629	0.081304
0.029164	0.046369	0.038307	0.05088	0.054513	0.073723
0.029637	0.05367	0.049108	0.062621	0.052112	0.072032
0.028888	0.061011	0.051668	0.069918	0.065129	0.086548
0.030041	0.050459	0.056497	0.063355	0.058938	0.093371
0.033269	0.051671	0.051461	0.069059	0.052242	0.090738
0.037804	0.054497	0.047818	0.055544	0.054921	0.086636
0.033515	0.051816	0.056384	0.058008	0.053679	0.084529
0.029083	0.050854	0.048994	0.068199	0.055474	0.083219
0.033145	0.05057	0.049541	0.065438	0.061835	0.080346
0.036804	0.056967	0.046102	0.058207	0.054212	0.085333
0.036042	0.052157	0.045663	0.061363	0.057738	0.091355
0.034212	0.05446	0.04081	0.06496	0.055925	0.087947
0.042188	0.051542	0.047002	0.073492	0.060567	0.079702
0.045547	0.045764	0.04925	0.077537	0.055017	0.080914
0.037859	0.049205	0.046546	0.067969	0.055872	0.083378
0.038167	0.047667	0.045698	0.06257	0.052283	0.078386
0.038813	0.042441	0.048871	0.051999	0.056203	0.070324
0.038243	0.036086	0.033497	0.053809	0.054116	0.07139
0.03642	0.038032	0.039096	0.049516	0.048334	0.06976
0.044149	0.044817	0.039574	0.052127	0.049697	0.071734
0.04241	0.048408	0.037271	0.048912	0.049718	0.089091
0.040997	0.055619	0.040405	0.048625	0.051338	0.088251
0.043598	0.047121	0.038545	0.051294	0.053187	0.081141
0.043642	0.047697	0.038959	0.048648	0.050884	0.074974
0.037713	0.047462	0.045437	0.049664	0.050512	0.071061
0.034668	0.053448	0.040688	0.055962	0.04837	0.06781
0.033574	0.049081	0.046341	0.079727	0.048378	0.068124
0.038145	0.049718	0.050286	0.086661	0.050667	0.070291
