0.026574	0.028872	0.0276	0.028609	0.026139	0.026641	0.044246	0.030667	0.035055	0.033769	0.032854	0.05471
0.027541	0.028633	0.022382	0.024547	0.02723	0.030689	0.04579	0.028921	0.036261	0.036819	0.032671	0.056171
0.028969	0.02731	0.025848	0.025996	0.035872	0.02826	0.044431	0.032413	0.037085	0.030282	0.032438	0.059475
0.027962	0.026608	0.027728	0.027769	0.027317	0.025876	0.040848	0.032322	0.036726	0.030432	0.034897	0.057459
0.027116	0.027316	0.026628	0.029375	0.025334	0.027283	0.039414	0.030655	0.036517	0.030721	0.028953	0.054117
0.027435	0.026442	0.02911	0.02803	0.027076	0.02372	0.035452	0.038102	0.037298	0.033217	0.028798	0.051099
0.026645	0.025949	0.027964	0.026534	0.032571	0.028245	0.030315	0.044246	0.041006	0.034306	0.028958	0.048422
0.02695	0.024347	0.024758	0.026356	0.03234	0.03457	0.032531	0.035961	0.036028	0.040049	0.030192	0.047536
0.026828	0.026398	0.025379	0.026018	0.041953	0.032429	0.034311	0.033398	0.035469	0.049164	0.031973	0.046795
0.02849	0.034006	0.028156	0.026458	0.038256	0.039325	0.033986	0.03153	0.035625	0.047914	0.041274	0.048533
0.038174	0.032112	0.025895	0.038467	0.025642	0.035599	0.03577	0.032794	0.036416	0.047081	0.0342	0.046695
0.033036	0.02847	0.024894	0.032011	0.020402	0.029233	0.037101	0.036856	0.036681	0.041353	0.033596	0.042337
0.025898	0.027608	0.025237	0.034755	0.021915	0.025638	0.035237	0.035924	0.048006	0.035612	0.033206	0.041202
0.022642	0.023243	0.02504	0.033025	0.022901	0.026927	0.034887	0.03267	0.054584	0.038494	0.033325	0.045395
0.023537	0.026816	0.025166	0.033255	0.0234	0.027053	0.036371	0.031763	0.049883	0.038371	0.030191	0.045959
0.026558	0.027352	0.027142	0.032336	0.025944	0.025097	0.030394	0.034007	0.05088	0.035119	0.032141	0.049763
0.028923	0.026764	0.024948	0.027375	0.027325	0.023291	0.031358	0.032983	0.044692	0.03599	0.03547	0.047202
0.030187	0.027605	0.024902	0.028936	0.025793	0.02368	0.034277	0.033205	0.048393	0.032106	0.033573	0.040535
0.021079	0.026837	0.03274	0.028967	0.025267	0.024384	0.036481	0.037191	0.043359	0.028865	0.038408	0.032689
